id,centroid_x,centroid_y,area_px,equiv_diameter_px,solidity,eccentricity,teal_fraction,relative_blueness,median_hue,median_saturation,median_value,is_stained,stain_confidence,on_border,possible_doublet,is_debris,ambiguous,source,sam3_detect_score,sam3_stain_score
251,2399.895,1655.32,3801,69.567,0.829,0.758,0.509,43.0,42.0,66.0,98.0,True,0.499,False,False,False,False,watershed,0.0,0.0
252,1814.979,1660.683,3479,66.555,0.896,0.714,0.528,41.0,41.0,68.0,92.0,True,0.518,False,False,False,False,watershed,0.0,0.0
253,2042.022,1680.538,4099,72.243,0.861,0.508,0.0,-1.0,27.0,104.0,138.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
254,2491.1,1690.354,1057,36.685,0.897,0.607,0.0,-22.0,22.0,118.0,164.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
255,1830.569,1717.89,3892,70.395,0.92,0.496,0.474,33.0,38.0,78.0,104.0,True,0.464,False,False,False,False,watershed,0.0,0.0
256,2196.695,1709.214,3684,68.488,0.755,0.756,0.829,66.0,79.0,69.0,68.0,True,0.819,False,False,False,False,watershed,0.0,0.0
257,2551.102,1721.689,5329,82.372,0.819,0.704,0.035,-15.0,22.0,115.0,156.0,True,0.025,False,False,False,False,watershed,0.0,0.0
258,2370.767,1728.359,2658,58.174,0.677,0.715,0.665,57.0,65.0,60.0,78.0,True,0.655,False,False,True,False,watershed,0.0,0.0
259,1575.567,1734.136,4362,74.524,0.701,0.609,0.229,-15.0,24.0,119.0,150.0,False,-0.027,False,False,False,False,watershed,0.0,0.423
260,1935.023,1714.378,5084,80.456,0.919,0.869,0.84,64.0,70.0,75.0,78.0,True,0.204,False,False,False,False,watershed,0.0,0.654
261,2094.594,1732.105,2790,59.601,0.906,0.653,0.511,41.0,41.0,69.0,97.0,True,0.501,False,False,False,False,watershed,0.0,0.0
262,2453.644,1751.136,2590,57.426,0.772,0.769,0.0,0.0,22.0,95.0,150.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
263,3139.766,1744.934,2499,56.408,0.879,0.661,0.0,-21.0,21.0,118.0,165.0,True,0.021,False,False,False,False,watershed,0.0,0.471
264,2159.422,1748.073,2305,54.174,0.901,0.565,0.747,62.0,76.0,57.0,62.0,True,0.737,False,False,False,False,watershed,0.0,0.0
265,2120.946,1773.211,1377,41.872,0.904,0.672,0.382,31.0,34.0,74.0,108.0,True,0.372,False,False,False,False,watershed,0.0,0.0
266,2239.909,1787.021,3532,67.06,0.725,0.924,0.398,32.0,36.0,74.0,112.0,True,0.388,False,False,False,False,watershed,0.0,0.0
